,HIGH,CLOSE,OPEN,LOW
2013-05-31,125.3,122.78,124.66,122.77
2013-06-03,124.12,124.09,122.35,122.35
2013-06-04,123.65,122.95,122.85,122.14
2013-06-05,123.1,121.56,122.31,121.31
2013-06-06,121.49,120.57,121.27,118.66
2013-06-07,121.97,121.71,121.2,120.14
2013-06-10,122.98,122.66,122.94,121.8
2013-06-11,122.76,121.45,121.87,121.26
2013-06-12,122.73,119.96,122.31,119.61
2013-06-13,121.83,121.66,119.85,119.81
2013-06-14,121.68,120.28,121.45,120.1
2013-06-17,121.78,121.21,120.42,120.28
2013-06-18,121.72,121.51,120.95,120.86
2013-06-19,122.38,120.51,121.68,120.41
2013-06-20,119.66,117.95,119.64,117.57
2013-06-21,119.54,118.9,119.35,117.26
2013-06-24,118.03,116.82,117.71,116.02
2013-06-25,117.87,117.42,117.75,116.92
2013-06-26,118.54,118.12,118.34,117.0
2013-06-27,119.54,118.7,118.52,118.33
2013-06-28,119.56,118.2,118.87,118.14
2013-07-01,120.01,119.02,118.42,118.0
2013-07-02,120.33,119.14,119.12,118.59
2013-07-03,119.31,119.0,119.31,118.61
2013-07-04,,,,
2013-07-05,120.86,120.62,119.58,119.1
2013-07-08,122.27,121.25,121.39,120.98
2013-07-09,123.74,123.25,122.39,122.05
2013-07-10,124.54,122.9,123.45,122.71
2013-07-11,124.11,123.79,123.95,122.51
2013-07-12,124.15,123.96,123.52,123.04
2013-07-15,125.14,124.69,124.11,124.06
2013-07-16,125.24,124.12,124.71,123.55
2013-07-17,125.0,124.36,124.65,124.29
2013-07-18,125.65,125.47,124.68,124.64
2013-07-19,126.9,126.85,125.77,125.17
2013-07-22,127.61,127.04,126.71,126.65
2013-07-23,127.65,127.31,127.07,126.7
2013-07-24,127.63,126.4,127.26,125.9
2013-07-25,127.83,127.73,126.14,125.79
2013-07-26,127.62,127.55,127.01,126.09
2013-07-29,127.37,126.2,127.37,125.89
2013-07-30,126.96,125.83,126.29,125.19
2013-07-31,126.91,125.97,126.02,125.75
2013-08-01,126.66,126.34,126.57,125.64
2013-08-02,125.1,124.95,124.87,123.3
2013-08-05,124.75,123.98,124.72,123.76
2013-08-06,124.16,123.09,123.97,123.01
2013-08-07,123.92,123.35,123.03,122.8
2013-08-08,124.21,123.05,123.73,121.91
2013-08-09,123.12,122.48,123.12,121.68
2013-08-12,122.07,121.8,122.0,120.91
2013-08-13,123.23,122.51,121.93,121.4
2013-08-14,122.96,122.02,122.76,121.54
2013-08-15,121.0,120.24,120.68,120.0
2013-08-16,120.19,119.88,119.89,119.05
2013-08-19,120.0,118.66,119.77,118.52
2013-08-20,119.3,118.33,118.59,118.31
2013-08-21,118.5,117.69,118.38,117.22
2013-08-22,119.19,118.26,117.94,117.43
2013-08-23,119.73,119.51,118.69,118.12
2013-08-26,119.92,118.84,119.74,118.52
2013-08-27,119.67,118.88,118.27,118.07
2013-08-28,122.36,121.82,119.63,119.48
2013-08-29,121.55,120.34,121.16,120.06
2013-08-30,120.88,120.42,120.67,120.07
2013-09-02,,,,
2013-09-03,121.48,120.47,121.34,120.0
2013-09-04,121.27,120.87,120.35,119.94
2013-09-05,121.67,121.34,121.08,120.91
2013-09-06,122.13,121.22,121.49,120.11
2013-09-09,122.47,122.2,121.21,121.21
2013-09-10,122.99,122.97,122.95,121.21
2013-09-11,124.0,123.92,123.2,122.79
2013-09-12,124.62,123.9,124.06,123.64
2013-09-13,124.84,124.14,123.98,123.81
2013-09-16,125.19,124.09,124.98,123.98
2013-09-17,125.19,124.35,124.12,124.08
2013-09-18,126.43,125.83,124.36,123.82
2013-09-19,126.12,125.45,125.86,125.25
2013-09-20,126.23,125.0,125.63,124.74
2013-09-23,125.62,125.51,124.62,124.57
2013-09-24,125.84,124.56,125.33,124.41
2013-09-25,125.03,124.13,124.77,124.07
2013-09-26,124.44,123.5,124.1,123.02
2013-09-27,123.26,122.63,123.21,122.51
2013-09-30,122.02,121.45,121.6,120.5
2013-10-01,121.74,121.32,121.27,120.84
2013-10-02,121.18,120.81,121.04,119.76
2013-10-03,120.66,118.25,120.62,118.03
2013-10-04,118.54,118.12,118.5,117.52
2013-10-07,118.5,117.86,117.43,117.21
2013-10-08,118.09,116.73,118.04,116.71
2013-10-09,116.8,116.14,116.7,115.32
2013-10-10,116.38,116.37,115.24,114.44
2013-10-11,117.71,117.64,116.57,115.93
2013-10-14,118.75,118.58,117.33,116.32
2013-10-15,119.07,118.14,118.55,117.77
2013-10-16,119.72,119.17,119.42,118.34
2013-10-17,119.61,119.46,119.11,118.67
2013-10-18,119.85,119.62,119.61,119.13
2013-10-21,120.19,119.81,119.61,119.31
2013-10-22,120.79,120.64,120.01,119.71
2013-10-23,120.64,120.13,120.28,119.83
2013-10-24,121.0,120.57,120.67,119.91
2013-10-25,121.22,120.59,120.59,120.27
2013-10-28,121.15,120.89,120.56,120.09
2013-10-29,122.01,121.53,121.35,121.16
2013-10-30,121.96,120.28,121.54,119.91
2013-10-31,121.33,120.04,120.15,119.83
2013-11-01,119.44,118.04,119.05,117.0
2013-11-04,118.6,118.11,118.51,117.32
2013-11-05,118.89,118.41,117.82,117.07
2013-11-06,121.41,121.11,119.3,118.82
2013-11-07,121.88,119.92,121.64,119.42
2013-11-08,121.21,121.18,119.67,119.58
2013-11-11,121.5,121.07,121.18,120.71
2013-11-12,121.25,119.98,121.03,119.63
2013-11-13,120.15,120.09,119.58,119.19
2013-11-14,119.93,119.55,119.58,119.32
2013-11-15,120.27,120.06,119.78,119.13
2013-11-18,120.89,120.56,120.71,120.07
2013-11-19,122.38,122.06,120.55,120.27
2013-11-20,122.75,122.0,122.16,121.6
2013-11-21,123.6,123.42,122.36,122.36
2013-11-22,124.19,124.01,123.54,122.42
2013-11-25,124.1,123.74,123.77,123.22
2013-11-26,123.7,122.77,123.41,122.65
2013-11-27,122.74,122.41,122.62,121.64
2013-11-28,,,,
2013-11-29,123.3,122.45,122.83,122.13
2013-12-02,123.06,122.34,122.87,122.05
2013-12-03,122.9,122.43,122.31,121.87
2013-12-04,122.83,121.74,122.01,121.19
2013-12-05,122.0,121.09,121.27,120.71
2013-12-06,122.36,122.23,122.2,121.65
2013-12-09,123.88,123.36,122.27,122.16
2013-12-10,123.94,123.66,123.77,122.7
2013-12-11,123.98,122.03,123.66,121.8
2013-12-12,122.1,121.02,121.7,120.57
2013-12-13,121.14,119.9,120.44,119.38
2013-12-16,120.7,120.23,120.26,119.81
2013-12-17,120.23,118.74,120.12,118.68
2013-12-18,121.77,121.62,119.42,119.2
2013-12-19,123.41,123.23,121.57,121.06
2013-12-20,123.79,122.77,123.05,122.4
2013-12-23,123.6,122.81,123.47,122.62
2013-12-24,123.56,123.51,123.03,122.69
2013-12-25,,,,
2013-12-26,124.99,124.82,123.6,123.54
2013-12-27,125.65,125.24,125.0,124.69
2013-12-30,125.21,124.31,124.79,123.9
2013-12-31,125.18,124.93,124.68,123.93
2014-01-01,,,,
2014-01-02,124.88,124.14,124.47,123.71
2014-01-03,124.9,124.32,124.6,123.85
2014-01-06,124.81,123.99,124.57,123.52
2014-01-07,125.32,125.03,124.42,123.64
2014-01-08,124.46,123.21,124.44,122.75
2014-01-09,123.42,123.29,123.42,122.02
2014-01-10,122.5,121.03,122.5,120.37
2014-01-13,121.07,119.19,120.81,119.01
2014-01-14,119.75,119.55,119.4,118.8
2014-01-15,120.07,119.19,119.59,119.05
2014-01-16,119.29,118.84,119.05,118.19
2014-01-17,120.39,119.29,118.88,118.74
2014-01-20,,,,
2014-01-21,120.89,120.33,120.77,119.51
2014-01-22,120.76,120.44,120.51,119.97
2014-01-23,119.92,118.44,119.84,118.26
2014-01-24,118.14,116.29,117.87,116.26
2014-01-27,117.25,116.44,116.25,115.88
2014-01-28,117.04,116.82,116.72,116.07
2014-01-29,116.91,116.01,116.05,115.7
2014-01-30,116.97,116.38,116.85,115.17
2014-01-31,113.9,111.62,113.9,111.11
2014-02-03,112.47,111.16,112.34,110.54
2014-02-04,112.04,110.82,112.0,110.49
2014-02-05,111.0,109.53,111.0,109.27
2014-02-06,111.35,111.21,110.29,109.9
2014-02-07,112.12,111.98,111.93,110.39
2014-02-10,112.47,111.65,112.47,111.08
2014-02-11,113.87,113.51,112.71,111.95
2014-02-12,113.05,112.04,113.05,111.81
2014-02-13,112.74,112.46,111.74,111.18
2014-02-14,113.83,113.49,112.58,111.59
2014-02-17,,,,
2014-02-18,114.11,112.7,113.87,112.6
2014-02-19,115.05,113.61,112.43,112.43
2014-02-20,115.33,114.5,113.42,113.27
2014-02-21,114.74,112.68,114.72,112.6
2014-02-24,115.0,114.15,113.37,113.05
2014-02-25,115.43,115.0,114.37,114.24
2014-02-26,115.86,115.54,114.82,114.4
2014-02-27,115.82,115.69,115.55,114.55
2014-02-28,116.75,115.35,115.87,114.81
2014-03-03,116.19,114.84,115.03,114.26
2014-03-04,116.32,115.34,115.8,115.26
2014-03-05,115.29,114.45,115.08,114.01
2014-03-06,115.15,114.84,114.71,114.35
2014-03-07,115.95,115.07,115.07,114.64
2014-03-10,115.94,115.84,115.45,114.12
2014-03-11,116.23,114.58,115.9,114.24
2014-03-12,116.36,115.65,114.27,114.13
2014-03-13,115.75,114.45,115.6,114.12
2014-03-14,114.9,114.1,114.36,113.68
2014-03-17,115.29,115.07,114.26,114.13
2014-03-18,116.56,116.25,115.46,115.2
2014-03-19,116.74,115.21,115.88,114.66
2014-03-20,116.08,115.52,115.1,114.3
2014-03-21,117.76,115.71,116.24,115.58
2014-03-24,116.69,115.84,116.0,115.65
2014-03-25,117.19,117.1,116.23,116.21
2014-03-26,118.28,117.69,117.7,117.36
2014-03-27,117.99,117.67,117.75,116.83
2014-03-28,118.55,118.48,118.13,117.7
2014-03-31,119.63,118.91,118.79,118.49
2014-04-01,119.61,118.99,119.15,118.84
2014-04-02,119.54,119.34,118.55,118.52
2014-04-03,119.79,119.01,119.78,118.88
2014-04-04,119.75,118.82,119.75,118.58
2014-04-07,118.82,117.35,118.32,117.34
2014-04-08,118.31,117.79,117.64,117.17
2014-04-09,119.25,119.11,117.84,117.57
2014-04-10,118.06,116.64,117.2,116.55
2014-04-11,117.73,117.04,116.5,116.5
2014-04-14,118.83,118.7,117.84,117.33
2014-04-15,120.31,120.28,118.95,118.34
2014-04-16,122.12,121.82,120.9,120.83
2014-04-17,123.85,123.66,121.97,121.72
2014-04-18,,,,
2014-04-21,124.4,124.25,123.05,123.05
2014-04-22,124.35,124.01,123.87,123.61
2014-04-23,124.97,124.69,124.19,124.04
2014-04-24,124.92,124.32,124.84,124.14
2014-04-25,124.7,124.02,124.23,123.58
2014-04-28,126.06,125.73,124.38,124.23
2014-04-29,127.27,125.98,125.92,125.76
2014-04-30,125.98,125.56,125.76,125.3
2014-05-01,125.76,124.89,125.66,124.28
2014-05-02,125.8,124.7,123.9,123.58
2014-05-05,125.85,125.36,124.82,124.34
2014-05-06,125.7,125.0,125.0,124.52
2014-05-07,126.78,126.24,125.95,125.64
2014-05-08,126.13,125.11,125.7,124.86
2014-05-09,126.07,125.02,125.4,124.63
2014-05-12,125.57,125.21,125.57,124.63
2014-05-13,125.99,125.87,125.57,124.97
2014-05-14,126.78,126.42,126.14,125.76
2014-05-15,125.5,123.82,125.08,123.54
2014-05-16,124.35,123.22,123.96,122.89
2014-05-19,123.42,122.94,122.88,122.85
2014-05-20,123.1,122.5,122.95,122.24
2014-05-21,124.36,124.13,123.1,122.94
2014-05-22,124.41,123.63,123.97,123.56
2014-05-23,124.36,123.38,124.1,123.33
2014-05-26,,,,
2014-05-27,123.99,122.85,123.76,122.75
2014-05-28,123.31,122.55,122.9,122.54
2014-05-29,122.9,122.31,122.89,121.65
2014-05-30,122.88,122.79,122.24,122.01
2014-06-02,123.05,122.21,122.93,122.01
2014-06-03,122.82,122.56,121.93,121.72
2014-06-04,122.68,122.35,122.32,122.0
2014-06-05,123.78,123.5,122.53,122.46
2014-06-06,124.7,124.14,123.7,123.7
2014-06-09,124.64,124.32,124.01,123.86
2014-06-10,125.37,125.33,124.98,124.15
2014-06-11,125.47,125.19,125.13,124.62
2014-06-12,126.23,126.15,125.73,125.42
2014-06-13,127.26,127.24,125.94,125.9
2014-06-16,128.81,128.6,127.15,127.14
2014-06-17,129.05,128.89,127.92,127.57
2014-06-18,130.5,130.29,128.96,128.36
2014-06-19,132.0,131.97,130.29,129.91
2014-06-20,132.4,132.36,131.95,130.87
2014-06-23,133.57,132.98,132.52,132.4
2014-06-24,133.46,131.78,132.74,131.71
2014-06-25,132.36,131.23,131.34,131.01
2014-06-26,131.22,130.94,131.22,129.53
2014-06-27,130.95,130.41,130.64,129.3
2014-06-30,130.63,130.5,130.15,129.37
2014-07-01,131.42,130.56,130.86,130.45
2014-07-02,130.92,130.22,130.53,129.99
2014-07-03,131.59,130.71,131.57,130.71
2014-07-04,,,,
2014-07-07,130.65,130.48,130.44,130.02
2014-07-08,130.38,129.89,129.7,129.52
2014-07-09,131.69,131.4,130.29,129.99
2014-07-10,130.86,130.26,130.48,129.9
2014-07-11,129.89,128.46,129.13,128.03
2014-07-14,129.5,129.26,128.58,128.38
2014-07-15,129.5,129.28,129.07,128.61
2014-07-16,130.94,130.87,129.89,129.69
2014-07-17,131.5,130.08,130.64,129.88
2014-07-18,130.73,130.39,130.73,129.58
2014-07-21,131.34,131.28,130.11,130.01
2014-07-22,133.2,132.56,131.55,131.55
2014-07-23,133.93,133.89,132.7,132.48
2014-07-24,135.1,134.91,134.03,133.69
2014-07-25,134.62,133.57,134.58,133.06
2014-07-28,133.8,133.25,133.56,132.88
2014-07-29,133.72,132.46,133.16,132.44
2014-07-30,133.69,132.53,132.97,131.5
2014-07-31,131.97,129.33,131.73,129.1
2014-08-01,128.97,127.9,127.61,126.36
2014-08-04,128.36,128.18,127.69,126.03
2014-08-05,127.81,124.97,127.81,124.58
2014-08-06,126.98,125.72,124.9,124.8
2014-08-07,126.73,125.65,125.85,124.83
2014-08-08,127.98,127.85,126.38,125.91
2014-08-11,128.67,127.69,128.36,127.53
2014-08-12,127.28,127.07,127.14,126.26
2014-08-13,128.24,127.59,127.5,126.87
2014-08-14,127.7,126.96,127.68,126.53
2014-08-15,126.79,126.13,126.42,125.68
2014-08-18,126.59,126.3,126.27,125.63
2014-08-19,127.7,127.62,126.72,126.54
2014-08-20,127.6,127.48,127.25,126.78
2014-08-21,128.18,127.94,127.68,127.18
2014-08-22,127.5,127.11,127.02,126.47
2014-08-25,128.07,127.86,127.57,127.38
2014-08-26,128.71,128.26,128.06,127.94
2014-08-27,128.82,128.63,128.41,128.19
2014-08-28,128.9,128.79,128.28,128.25
2014-08-29,129.53,129.46,129.0,128.5
2014-09-01,,,,
2014-09-02,129.38,127.54,129.2,127.06
2014-09-03,128.88,127.87,128.45,127.67
2014-09-04,128.49,126.79,128.21,126.2
2014-09-05,127.44,127.35,127.12,126.16
2014-09-08,126.76,126.19,126.68,125.69
2014-09-09,125.79,125.22,124.49,124.26
2014-09-10,124.74,124.27,124.46,123.01
2014-09-11,124.08,123.82,123.28,122.41
2014-09-12,123.66,122.66,123.54,122.21
2014-09-15,124.78,124.24,122.35,122.06
2014-09-16,125.68,124.97,124.06,123.8
2014-09-17,125.49,124.74,125.13,124.45
2014-09-18,125.07,124.15,124.85,123.85
